VS B DENZ PART A I Thigh Tlow Time Dcool Compr Ion HB4861 Fe5160 N5200 Fe5262 O5577 N5755 O6300 HA6563 N6583 S6716 S6731 Fe7155 Fe7172 Ca7291 O7330 Fe7390 Fe7452 Fe8619 C8730 Fe8894 Fe9054 Fe9229 C9850
20.0 1.0 2.5 .02 1 0 0.1198E+05 0.1002E+04 0.7514E+03 0.4854E+16 0.700E+01 0.175E-01 0.246557 0.00323729 1.95766 0.00694797 0.0404353 0.00137332 4.90648 6.68e-06 0.176535 5.64615 3.96957 0.0216822 0.00525413 0.680497 0.00405093 0.00389806 0.0068025 0.855693 0.0443802 0.295274 0.202044 0.166096 1.71357
20.0 1.0 2.5 .05 1 0 0.1168E+05 0.1006E+04 0.3911E+03 0.2355E+16 0.694E+01 0.423E-01 0.281108 0.00158264 0.865813 0.00507119 0.0176255 0.00126499 2.22357 1.498e-05 0.180471 2.58901 1.90872 0.010356 0.00249343 0.317652 0.00466358 0.00184969 0.00324961 0.401035 0.0413229 0.137594 0.0946913 0.0774003 1.55734
20.0 10.0 2.5 .5 1 0 0.8455E+04 0.1010E+04 0.1020E+03 0.7361E+15 0.541E+01 0.396E+00 0.310425 0.000180046 0.0513753 0.00169492 0.00049668 0.00024865 0.122307 0.000143037 0.0732602 0.21202 0.221022 0.00110822 0.000257653 0.0271622 0.00309804 0.000192463 0.000347676 0.0393991 0.0122928 0.0128454 0.00930343 0.00722358 0.552556
20.0 1.0 2.5 .1 1 0 0.1122E+05 0.1002E+04 0.2520E+03 0.1436E+16 0.679E+01 0.832E-01 0.295074 0.00088227 0.417234 0.00402185 0.00820305 0.000988496 1.10062 2.99e-05 0.158455 1.30127 1.02686 0.00558869 0.00133373 0.164946 0.00479495 0.000988496 0.00175274 0.210541 0.0348187 0.0716439 0.049711 0.0403011 1.29832
20.0 1.0 2.5 .25 1 0 0.1005E+05 0.1011E+04 0.1415E+03 0.8159E+15 0.631E+01 0.204E+00 0.304976 0.000405618 0.142424 0.00288203 0.00237577 0.000555057 0.378171 7.5518e-05 0.113451 0.487962 0.445265 0.00244896 0.000573355 0.06435 0.00462039 0.000426967 0.00076854 0.0875587 0.0235747 0.0292228 0.0206743 0.0164382 0.89968
20.0 1.0 2.5 .5 1 0 0.8596E+04 0.1009E+04 0.1127E+03 0.6374E+15 0.594E+01 0.391E+00 0.31096 0.000192795 0.0516816 0.0018129 0.000522413 0.000268048 0.125006 0.000154048 0.0758743 0.211764 0.224202 0.00115677 0.000267426 0.0275511 0.00327752 0.000199014 0.000363823 0.040714 0.0125939 0.01325 0.00961178 0.00745371 0.569057
20.0 30.0 2.5 .02 1 0 0.1028E+05 0.1006E+04 0.1019E+04 0.1194E+17 0.432E+01 0.177E-01 0.28135 0.00329461 2.1045 0.00591398 0.0362942 0.00119855 5.37379 3.866e-06 0.188505 6.61173 4.55787 0.0244465 0.00596744 0.796221 0.00357033 0.00442564 0.00766961 0.999052 0.0391077 0.344409 0.235892 0.193738 1.49116
20.0 30.0 2.5 .05 1 0 0.1003E+05 0.1007E+04 0.5094E+03 0.5860E+16 0.430E+01 0.432E-01 0.294619 0.00131105 0.783686 0.00350007 0.0129632 0.000875018 2.04171 1.0221e-05 0.157621 2.56908 1.83842 0.00964877 0.00234517 0.30935 0.00337633 0.0017412 0.00302574 0.391681 0.0327027 0.134417 0.0924838 0.075611 1.26392
20.0 30.0 2.5 .1 1 0 0.9649E+04 0.1010E+04 0.3056E+03 0.3482E+16 0.427E+01 0.853E-01 0.299379 0.000634683 0.342789 0.00249083 0.005299 0.000574807 0.907117 2.1889e-05 0.12065 1.18554 0.892148 0.00460444 0.00111369 0.143702 0.00300876 0.000826285 0.00144301 0.184812 0.0258064 0.0629833 0.0436374 0.0354285 1.02088
20.0 30.0 2.5 .25 1 0 0.8669E+04 0.1015E+04 0.1703E+03 0.1929E+16 0.417E+01 0.209E+00 0.302604 0.000220901 0.097741 0.00148276 0.00114082 0.000239057 0.258121 6.11449e-05 0.0692962 0.387333 0.329838 0.00158262 0.000378255 0.0462984 0.00211217 0.000281421 0.00049627 0.0624967 0.014525 0.0208918 0.014755 0.0117531 0.650598
20.0 30.0 2.5 .5 1 0 0.7447E+04 0.1006E+04 0.1329E+03 0.1507E+16 0.410E+01 0.398E+00 0.308202 8.01326e-05 0.0320839 0.000767424 0.000203722 9.40017e-05 0.0764342 0.000134003 0.0416073 0.156259 0.154101 0.000588666 0.000138691 0.0163347 0.00117117 0.000104789 0.000184921 0.0234018 0.00681127 0.00761876 0.00552607 0.00428709 0.391417
20.0 100.0 3.0 .02 1 0 0.7321E+04 0.1038E+04 0.4350E+03 0.8058E+16 0.300E+01 0.177E-01 0.296161 0.000944755 0.651555 0.0027158 0.00527167 0.000142454 1.94578 1.09073e-05 0.056863 3.05046 2.16494 0.0098296 0.00247887 0.249368 0.000504659 0.00183916 0.00308304 0.482157 0.0284019 0.162892 0.113844 0.0916294 1.71477
20.0 100.0 3.0 .05 1 0 0.7155E+04 0.1049E+04 0.2167E+03 0.3995E+16 0.300E+01 0.434E-01 0.297982 0.000363538 0.23034 0.00185941 0.00177299 9.74401e-05 0.709197 3.04053e-05 0.0452933 1.11743 0.855208 0.00355791 0.000885007 0.0890966 0.000463064 0.00065854 0.00111743 0.169978 0.0211567 0.0568699 0.0401352 0.0319914 1.32304
20.0 100.0 3.0 .1 1 0 0.6899E+04 0.1009E+04 0.1392E+03 0.2553E+16 0.299E+01 0.854E-01 0.298823 0.000167341 0.0959222 0.00127 0.000666375 5.94658e-05 0.304799 6.86029e-05 0.0334682 0.487081 0.415364 0.00152699 0.000373529 0.0367552 0.000397136 0.000277905 0.000478117 0.0704714 0.0141343 0.0232425 0.0166385 0.0130735 0.947269
20.0 100.0 3.0 .25 1 0 0.6243E+04 0.1023E+04 0.9012E+02 0.1646E+16 0.297E+01 0.205E+00 0.301999 5.43599e-05 0.025519 0.000582859 0.000124424 2.30426e-05 0.0863718 0.0002 0.019479 0.148886 0.156134 0.000440919 0.0001057 0.00836538 0.000254284 7.85199e-05 0.00013892 0.0194095 0.00600979 0.00620005 0.00458133 0.00348809 0.495279
20.0 10.0 3.0 .02 1 0 0.1191E+05 0.1013E+04 0.2822E+03 0.1816E+16 0.679E+01 0.174E-01 0.249086 0.00363914 1.93789 0.0132115 0.04085 0.00139986 5.00662 2.078e-05 0.180836 5.55461 4.18464 0.0230454 0.00552223 0.69744 0.00429922 0.00409497 0.00722847 0.875414 0.108601 0.299924 0.206699 0.168713 3.93555
20.0 10.0 3.0 .05 1 0 0.1162E+05 0.1011E+04 0.1548E+03 0.9106E+15 0.674E+01 0.421E-01 0.283607 0.00193987 0.802607 0.0111401 0.0173284 0.00123652 2.22631 4.758e-05 0.178672 2.36528 2.00793 0.0113641 0.00267725 0.317639 0.00511059 0.00198525 0.00356493 0.407659 0.0927393 0.137739 0.0962561 0.0774813 3.26148
20.0 100.0 3.0 .5 1 0 0.5426E+04 0.1024E+04 0.7357E+02 0.1342E+16 0.296E+01 0.383E+00 0.30474 1.82844e-05 0.00722235 0.00022246 1.77054e-05 7.2833e-06 0.0239221 0.000443 0.0104831 0.0518059 0.0658239 0.000143228 3.35214e-05 0.00152675 0.000111535 2.43792e-05 4.57111e-05 0.00625937 0.00208138 0.0019412 0.00147799 0.00109097 0.237088
20.0 10.0 3.0 .1 1 0 0.1116E+05 0.1004E+04 0.1056E+03 0.5780E+15 0.660E+01 0.828E-01 0.296975 0.00119978 0.36528 0.00920921 0.00801834 0.000953291 1.09584 9.522e-05 0.155318 1.10772 1.08099 0.00645922 0.00149676 0.163336 0.00556532 0.00111069 0.00202537 0.216694 0.0703832 0.0719661 0.0511659 0.0404807 2.43817
20.0 10.0 3.0 .25 1 0 0.1000E+05 0.1004E+04 0.7420E+02 0.3765E+15 0.624E+01 0.200E+00 0.308814 0.00064851 0.114261 0.00639864 0.00232228 0.000574395 0.389106 0.00024217 0.116732 0.38293 0.472486 0.00311903 0.000710273 0.0670127 0.00584895 0.000528073 0.000978942 0.0951396 0.0398371 0.0307116 0.0224632 0.0172751 1.41437
20.0 1.0 3.0 .02 1 0 0.1198E+05 0.1007E+04 0.2865E+03 0.1691E+16 0.711E+01 0.173E-01 0.249736 0.00342389 1.81309 0.0126392 0.0382097 0.00131861 4.69504 2.276e-05 0.169821 5.21949 3.94583 0.0216571 0.00518702 0.651812 0.00403574 0.00384844 0.00679283 0.823481 0.102642 0.281917 0.194437 0.158583 3.77102
20.0 1.0 3.0 .05 1 0 0.1169E+05 0.1004E+04 0.1620E+03 0.8453E+15 0.706E+01 0.419E-01 0.282287 0.00184898 0.756528 0.0107579 0.0164009 0.00118278 2.10586 5.143e-05 0.169654 2.23289 1.90826 0.0107975 0.0025434 0.299224 0.00484686 0.00188567 0.00338744 0.387207 0.0877911 0.130679 0.091427 0.0735103 3.13338
20.0 10.0 3.0 .5 1 0 0.8552E+04 0.1014E+04 0.5725E+02 0.3015E+15 0.586E+01 0.382E+00 0.315378 0.000346916 0.0416614 0.00373092 0.000583449 0.000318532 0.142866 0.000485163 0.0860981 0.165573 0.241579 0.00158004 0.000362684 0.0305286 0.00503974 0.000268071 0.000495143 0.0466948 0.0201842 0.0148038 0.0110256 0.00832597 0.794752
20.0 1.0 3.0 .1 1 0 0.1123E+05 0.1002E+04 0.1141E+03 0.5367E+15 0.692E+01 0.824E-01 0.297265 0.0011742 0.352556 0.00909928 0.00778834 0.00094233 1.06421 0.00010091 0.151902 1.07015 1.05529 0.00630796 0.00145957 0.157848 0.00541319 0.00108204 0.00197978 0.21129 0.0683709 0.0700802 0.04989 0.0394203 2.39298
20.0 1.0 3.0 .25 1 0 0.1006E+05 0.1011E+04 0.7221E+02 0.3293E+15 0.644E+01 0.201E+00 0.30915 0.000655397 0.115004 0.00645504 0.00240828 0.000581201 0.389528 0.00024941 0.116859 0.380254 0.469907 0.0031255 0.000711044 0.0652306 0.00613353 0.000528646 0.000980004 0.0949306 0.0404986 0.0306305 0.0224133 0.0172289 1.41591
20.0 1.0 3.0 .5 1 0 0.8597E+04 0.1013E+04 0.6515E+02 0.2848E+15 0.611E+01 0.380E+00 0.317721 0.000359024 0.0420662 0.00385713 0.000597315 0.00033043 0.146152 0.000494178 0.0880086 0.167439 0.24528 0.00162673 0.000371733 0.0309778 0.00517885 0.000276417 0.00051153 0.048014 0.0205565 0.015222 0.0113363 0.00856257 0.813365
20.0 30.0 3.0 .02 1 0 0.1140E+05 0.1001E+04 0.3160E+03 0.2660E+16 0.552E+01 0.175E-01 0.257549 0.00373703 2.05782 0.0124782 0.0414654 0.00140107 5.30551 1.689e-05 0.189813 6.00089 4.42984 0.0242894 0.00583606 0.754618 0.00434227 0.0043294 0.00762087 0.931552 0.110488 0.319747 0.219954 0.179864 3.91474
20.0 30.0 3.0 .05 1 0 0.1112E+05 0.1003E+04 0.1669E+03 0.1343E+16 0.549E+01 0.426E-01 0.287748 0.00184734 0.814327 0.00991868 0.0166318 0.00115099 2.22429 4.081e-05 0.175814 2.43147 2.00273 0.0111934 0.00265016 0.325155 0.00484568 0.00196532 0.00351053 0.408395 0.0906407 0.138464 0.0964301 0.0778877 3.16523
20.0 30.0 3.0 .1 1 0 0.1069E+05 0.1003E+04 0.1082E+03 0.8441E+15 0.540E+01 0.840E-01 0.296839 0.00107159 0.354722 0.00790185 0.00727255 0.000825212 1.03894 8.478e-05 0.143373 1.09534 1.03003 0.00600505 0.00139811 0.159106 0.00495721 0.00103597 0.00188493 0.206134 0.0658982 0.0687568 0.0486727 0.0386751 2.2916
20.0 30.0 3.0 .25 1 0 0.9581E+04 0.1009E+04 0.6977E+02 0.5293E+15 0.518E+01 0.204E+00 0.305504 0.000528522 0.104788 0.00520273 0.00191245 0.000439925 0.342164 0.000226661 0.0983722 0.357439 0.42465 0.00266399 0.000607953 0.0601843 0.00473225 0.000452146 0.00083708 0.0835217 0.0345219 0.0270249 0.0197203 0.0152019 1.25868
